Frame,Entropy(bits),Avg_Gradient,PSNR,SSIM,Processing_Time(ms)
1,6.141803284722423,12.479213876698001,30.922969167585407,0.7318009581647169,47.69829061745338
2,5.684882598759683,27.40118657741258,33.424811256725526,0.9318216177165652,21.505703570771345
3,6.377243398017229,22.186388544220023,29.5950137756037,0.8546170820073048,40.11833247358967
4,5.543948513753711,16.74170525797624,32.49586822991732,0.7923031995894827,39.30845530601661
5,5.79105724752676,16.3041516047724,29.90952694059835,0.9356386376170305,39.674098188803136
6,5.362135304930612,15.70844678913409,34.84121372131131,0.7382528905870072,30.17017069916617
7,5.166839465574611,12.723484141956448,27.61956116109357,0.8645071218373221,30.3877645854648
8,5.819666818561689,21.88400499974918,34.69861190570109,0.8155582796849103,24.6737311571563
9,6.247655413045522,29.681456336390927,29.50474610541752,0.9366451183614666,28.003510544864866
10,6.581354936859014,21.567540684045518,31.873563941643088,0.8613037200024191,38.59909374111761
11,5.816646939686508,11.005879895844012,26.892531434066765,0.8526880856941346,38.8636266225004
12,5.931269491074942,19.104845462614406,31.495473976892736,0.7601896685300326,40.722598458381235
13,6.211844221660203,29.142271887804338,34.93981463004451,0.8539112823826348,43.20526210219049
14,5.003506709188772,27.27174514835983,30.208129831176254,0.8821017334152073,36.5555217030946
15,5.4751497333500865,25.038556024049043,26.152860918996566,0.7402949313158467,24.510544918074682
16,5.7042191780755465,19.656005761091542,33.037294367212354,0.7719904290382499,35.192106038837466
17,5.463758193189538,16.62359634364009,26.285316936459488,0.7886046775681294,46.9215833043055
18,6.7465202824735915,29.156807870000282,33.61864184139478,0.9340825795187965,32.60815297179042
19,6.1549807426794025,17.25232061439435,29.13915908748132,0.8623479547237898,20.997853534836608
20,5.35057427439769,20.57136031161466,31.323957280630314,0.9471142035060341,40.99331504567289
21,5.967632019386508,10.907396531764553,34.19992010520593,0.9270166763799241,45.3701060605477
22,6.1137873587585005,22.071199752322443,32.6090226119778,0.9171892835990837,23.17103950774885
23,5.878420200286819,25.03590872945709,25.550417789942692,0.7484922567215684,30.37816671524566
24,5.447830400658098,12.223658100228294,26.91770103294306,0.7918368042564166,26.55067608203868
25,6.613313884181038,14.944990732909964,28.992377531391515,0.8799539413644928,46.73526809396799
26,5.573576208992522,22.06950852576238,31.92004259117571,0.9108590710058453,37.7702881402747
27,5.809602383126628,18.765536444155607,31.058879342472054,0.7582496001874566,37.313481853244284
28,6.146934537115316,12.60295587853255,25.776992071156275,0.7717608339084219,36.68747320431796
29,5.663345731151412,23.687995635195144,27.24062829503362,0.757792463736839,27.168435203682453
30,6.631236068427003,24.0627827033399,29.30873185900721,0.8679891619883342,28.617446765842622
31,6.869886664271755,17.84755792752894,29.422102431827494,0.8169688235928707,27.988329905441226
32,6.333841099322712,27.47092299552424,27.222758354711154,0.9015940365769578,29.321285298485122
33,5.872044288863698,25.383649623285372,30.800799091667635,0.8751785675679458,26.166726040471538
34,6.667355077454346,15.949296995957564,31.66023853069115,0.7505507785171497,21.19249077795316
35,5.2964378354580495,10.314124987605386,34.77013010095854,0.8490123551933103,49.80103998080649
36,5.839131978018865,13.354997263144831,30.23103393686388,0.9431377811780164,49.28611690061513
37,6.689245146631145,28.184600104488446,28.759927704575816,0.9305799337455356,26.178588711554717
38,6.3484015959946,10.117617218302806,28.362199740249267,0.9285518645513546,24.04794838217922
39,5.4658596552368595,29.70525382786619,31.5520770418167,0.7260447074929159,36.71009488809449
40,6.519101323123085,11.149712914510824,29.81759220753677,0.9291387881511797,27.141172325530633
41,5.511754190254477,29.334841794951547,26.839384482913744,0.8695118843647823,28.710974118530117
42,5.185121023824198,27.07182043255817,28.11434642926085,0.7235315343326683,46.24981234644503
43,5.36858372176336,14.850486725148954,33.14449543139361,0.8677065495581789,21.454411980159776
44,6.644736494830235,14.742704275129368,32.17766361103396,0.7248438627362188,44.50716986187577
45,6.939443021899658,23.803764084521617,32.54818604806844,0.7587750063202612,35.27883552675001
46,5.435387491287354,10.893681528098728,28.319768211275406,0.8029911505697138,34.20639204331389
47,5.06284515202019,26.918170561338655,27.102145505586975,0.8133122364565413,29.994472518733225
48,6.5782560360814415,16.381117555408615,33.18524965470391,0.7963750942325826,27.762957876940824
49,6.005626836279372,28.41027453094205,34.27486039267305,0.7496722453971016,49.88976911856753
50,5.407986621806987,27.511373043990098,32.4187707281991,0.9426302707092562,48.14324306133612
51,5.88322966570925,27.0855101713928,29.74748026630211,0.8623263153003039,45.568961516232406
52,6.818027433173442,13.792075999885835,30.193528680791218,0.8678546549476687,41.614501720451
53,6.438820981933619,16.600730860090593,25.022244568012603,0.9412843825775732,37.063064337866784
54,5.30134360789662,15.167634641558882,33.774591962633,0.8048131475584774,40.093283771392265
55,6.794835887630052,28.125265667934297,27.154374008845153,0.704405241503551,29.470415150515457
56,5.58509265810253,26.63023116386114,29.61399027582749,0.7561107993908497,23.887226867042365
57,6.476360504566484,19.03206342581639,27.61084569511065,0.9299952267349949,35.26153734477539
58,6.198389918968855,18.343230110701942,33.47999933345531,0.8265258212113127,49.523225159559125
59,6.2161054330602346,19.478878310031426,25.07180070759881,0.7544015870043201,32.66805129013036
60,5.184788394893763,28.803486469952876,30.64789794332525,0.9124418011779255,44.980237622118324
